,0
Annual return,0.06374083566546873
Cumulative returns,0.3989001603550164
Annual volatility,0.19893389132637326
Sharpe ratio,0.41148849169723595
Calmar ratio,0.1607287660503477
Stability,0.734419468213578
Max drawdown,-0.3965739128831621
Omega ratio,1.1088475538921372
Sortino ratio,0.5588486916948848
Skew,
Kurtosis,
Tail ratio,0.9416975485864838
Daily value at risk,-0.02473847713735652
