,0
Annual return,0.04330612637394893
Cumulative returns,0.2589909369744743
Annual volatility,0.19435526827675265
Sharpe ratio,0.3160897619432612
Calmar ratio,0.1138200569051884
Stability,0.6385676588091369
Max drawdown,-0.38047886770978107
Omega ratio,1.080079501455274
Sortino ratio,0.43406657652412783
Skew,
Kurtosis,
Tail ratio,0.9825544508909232
Daily value at risk,-0.024242677618191766
