train/reward,time/time_elapsed,train/policy_loss,time/total_timesteps,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/n_updates,time/fps,train/explained_variance,time/iterations
-0.0035488082,5,114.56419372558594,500,-42.617740631103516,12.587546348571777,1.0016095638275146,0.0007,99,87,1.1920928955078125e-07,100
0.51247114,11,15.855191230773926,1000,-42.72509765625,2.8613743782043457,1.0056062936782837,0.0007,199,88,0.0,200
-0.004511705,16,41.89459991455078,1500,-42.791114807128906,1.1449782848358154,1.0076550245285034,0.0007,299,90,0.0,300
1.3935543,21,290.736572265625,2000,-42.79935836791992,50.377784729003906,1.00780189037323,0.0007,399,90,0.0,400
-2.0510218,27,79.66059875488281,2500,-42.773414611816406,13.832476615905762,1.0071206092834473,0.0007,499,91,0.0,500
-4.961816,32,-78.66777801513672,3000,-42.774505615234375,5.293065071105957,1.0071420669555664,0.0007,599,91,0.07076388597488403,600
3.1565197,38,-298.7164306640625,3500,-42.78265380859375,76.36524963378906,1.0075236558914185,0.0007,699,90,0.0,700
-1.2509007,44,54.683349609375,4000,-42.782508850097656,1.686688780784607,1.0075606107711792,0.0007,799,90,-0.17858219146728516,800
-0.00034984061,49,119.2396469116211,4500,-42.77204895019531,8.576021194458008,1.007055640220642,0.0007,899,91,0.0,900
-0.9670237,53,-40.519386291503906,5000,-42.77598190307617,1.6084330081939697,1.0073503255844116,0.0007,999,92,0.0,1000
-0.8253901,58,-26.397775650024414,5500,-42.81143569946289,0.849146842956543,1.0085028409957886,0.0007,1099,93,1.1920928955078125e-07,1100
-2.0822072,63,-49.013397216796875,6000,-42.8055305480957,2.00890851020813,1.0081537961959839,0.0007,1199,94,0.0,1200
-3.3132122,68,-42.68571090698242,6500,-42.87315368652344,1.6914440393447876,1.0103718042373657,0.0007,1299,94,0.0,1300
0.0,74,-281.74481201171875,7000,-42.83741760253906,48.80499267578125,1.0092507600784302,0.0007,1399,94,1.1920928955078125e-07,1400
-0.0016136774,79,34.2927131652832,7500,-42.8411750793457,1.08810555934906,1.0092759132385254,0.0007,1499,94,0.0,1500
2.6605527,84,-23.54363441467285,8000,-42.87272262573242,1.0368194580078125,1.0107611417770386,0.0007,1599,94,0.0,1600
-0.10375033,89,-32.959495544433594,8500,-42.86635208129883,1.1280248165130615,1.0102251768112183,0.0007,1699,94,0.0,1700
-4.9564624,95,21.238262176513672,9000,-42.84910202026367,0.817423939704895,1.0098198652267456,0.0007,1799,94,0.0,1800
-2.9025235,100,-255.5459442138672,9500,-42.86770248413086,51.022125244140625,1.0105808973312378,0.0007,1899,94,0.0,1900
0.0,106,-77.01846313476562,10000,-42.84952926635742,6.391085147857666,1.0095863342285156,0.0007,1999,93,1.1920928955078125e-07,2000
0.33833307,112,192.04226684570312,10500,-42.83648681640625,20.638221740722656,1.0093488693237305,0.0007,2099,93,0.0,2100
0.016514065,117,48.783992767333984,11000,-42.83198165893555,2.79237961769104,1.0093989372253418,0.0007,2199,93,0.19194358587265015,2200
0.6691832,123,-41.15687942504883,11500,-42.87030029296875,1.756181001663208,1.0104269981384277,0.0007,2299,93,0.0,2300
1.3953286,128,-54.078285217285156,12000,-42.89016342163086,2.7770886421203613,1.0112159252166748,0.0007,2399,93,5.960464477539063e-08,2400
-1.5008878,134,24.160552978515625,12500,-42.87415313720703,1.4382153749465942,1.0106009244918823,0.0007,2499,92,0.0,2500
-0.0013110533,139,-149.2102508544922,13000,-42.79383850097656,14.963269233703613,1.0079799890518188,0.0007,2599,93,0.0,2600
0.27405435,144,-160.92544555664062,13500,-42.803466796875,26.898983001708984,1.0084689855575562,0.0007,2699,93,5.960464477539063e-08,2700
-0.00028694927,149,86.66963958740234,14000,-42.881813049316406,7.8028717041015625,1.0108182430267334,0.0007,2799,93,0.0,2800
0.36982936,154,-141.03469848632812,14500,-42.8640022277832,19.622766494750977,1.0104948282241821,0.0007,2899,94,1.1622905731201172e-05,2900
0.56832767,158,2.792565107345581,15000,-42.8353157043457,0.29467836022377014,1.0095412731170654,0.0007,2999,94,0.0,3000
-0.45437062,163,-29.632434844970703,15500,-42.87124252319336,1.115277647972107,1.0110805034637451,0.0007,3099,94,0.0,3100
-0.00015913404,168,-52.851219177246094,16000,-42.945655822753906,1.9999936819076538,1.013539433479309,0.0007,3199,95,0.0,3200
-2.1461852,173,37.39200210571289,16500,-42.930049896240234,1.6731319427490234,1.0130354166030884,0.0007,3299,95,0.0,3300
-0.0018052306,178,-81.61451721191406,17000,-42.910850524902344,3.671329975128174,1.0123833417892456,0.0007,3399,95,5.960464477539063e-08,3400
2.3881273,184,-143.04232788085938,17500,-42.932373046875,18.83043670654297,1.0130507946014404,0.0007,3499,95,0.0,3500
-1.1819589,189,62.017578125,18000,-42.932281494140625,8.759605407714844,1.0130671262741089,0.0007,3599,94,-1.1920928955078125e-07,3600
0.73593354,195,-14.592806816101074,18500,-42.898231506347656,0.14815753698349,1.0121525526046753,0.0007,3699,94,0.31575679779052734,3700
0.0,201,43.82133102416992,19000,-42.94518280029297,1.0435218811035156,1.0135366916656494,0.0007,3799,94,0.0,3800
-1.0603174,206,33.88063430786133,19500,-43.01763916015625,1.0037977695465088,1.015797734260559,0.0007,3899,94,0.0,3900
0.0,211,-136.835205078125,20000,-43.039100646972656,9.731094360351562,1.016640305519104,0.0007,3999,94,0.0,4000
-2.1140566,216,50.348350524902344,20500,-43.00531005859375,1.624324083328247,1.015406847000122,0.0007,4099,94,5.960464477539063e-08,4100
