,date,reward_0,reward_1
0,2017-01-25,0.0,0.0
1,2017-01-26,-0.0007177375175520467,-0.0007177375175520467
2,2017-01-27,0.002126051665799703,0.002126051665799703
3,2017-01-30,-0.0034919608022762998,-0.0034919608022762998
4,2017-01-31,-0.003221956924145296,-0.003221956924145296
5,2017-02-01,-0.0002945371350914346,-0.0002945371350914346
6,2017-02-02,0.00161418361734314,0.00161418361734314
7,2017-02-03,0.007936019591847043,0.007936019591847043
8,2017-02-06,-0.0015260066790224165,-0.0015260066790224165
9,2017-02-07,0.0018746064170301296,0.0018746064170301296
10,2017-02-08,0.0011601588657134201,0.0011601588657134201
11,2017-02-09,0.005418696466922444,0.005418696466922444
12,2017-02-10,0.0030859636280471774,0.0030859636280471774
13,2017-02-13,0.005525834142039998,0.005525834142039998
14,2017-02-14,0.004027563697517053,0.004027563697517053
15,2017-02-15,0.005536752508526053,0.005536752508526053
16,2017-02-16,0.001638627855978608,0.001638627855978608
17,2017-02-17,0.0023100015473983427,0.0023100015473983427
18,2017-02-21,0.006184338081258194,0.006184338081258194
19,2017-02-22,0.0004546633033222787,0.0004546633033222787
20,2017-02-23,0.0013580915554758785,0.0013580915554758785
21,2017-02-24,0.0022772034333449096,0.0022772034333449096
22,2017-02-27,-0.0005139723970232609,-0.0005139723970232609
23,2017-02-28,-0.0015383261052541839,-0.0015383261052541839
24,2017-03-01,0.012569836591542871,0.012569836591542871
25,2017-03-02,-0.004949076764067055,-0.004949076764067055
26,2017-03-03,-0.00027702113718755414,-0.00027702113718755414
27,2017-03-06,-0.0025214693401318378,-0.0025214693401318378
28,2017-03-07,-0.0014689279549998087,-0.0014689279549998087
29,2017-03-08,-0.0025385332035530632,-0.0025385332035530632
30,2017-03-09,0.0002611867617429946,0.0002611867617429946
31,2017-03-10,0.00309611205150943,0.00309611205150943
32,2017-03-13,-0.0018647749943590524,-0.0018647749943590524
33,2017-03-14,-0.0011752145900602844,-0.0011752145900602844
34,2017-03-15,0.004921082750401076,0.004921082750401076
35,2017-03-16,-0.001156866753293707,-0.001156866753293707
36,2017-03-17,-0.0024455136635382615,-0.0024455136635382615
37,2017-03-20,-0.0003104971265283808,-0.0003104971265283808
38,2017-03-21,-0.00933334983238685,-0.00933334983238685
39,2017-03-22,-0.00037512217870224124,-0.00037512217870224124
40,2017-03-23,-0.0010143799399081614,-0.0010143799399081614
41,2017-03-24,-0.001134952749603399,-0.001134952749603399
42,2017-03-27,-0.001944109121295555,-0.001944109121295555
43,2017-03-28,0.0059571060205135095,0.0059571060205135095
44,2017-03-29,-0.0015525079642284107,-0.0015525079642284107
45,2017-03-30,0.002321136336821391,0.002321136336821391
46,2017-03-31,-0.0016041552000703593,-0.0016041552000703593
47,2017-04-03,-0.0008854790816709523,-0.0008854790816709523
48,2017-04-04,0.0012046229297479065,0.0012046229297479065
49,2017-04-05,-0.001984598929899723,-0.001984598929899723
50,2017-04-06,0.00042439355414399405,0.00042439355414399405
51,2017-04-07,0.000433533096893119,0.000433533096893119
52,2017-04-10,0.00020219754208061655,0.00020219754208061655
53,2017-04-11,0.0003164468569233488,0.0003164468569233488
54,2017-04-12,-0.0020703526287790108,-0.0020703526287790108
55,2017-04-13,-0.006181457283665508,-0.006181457283665508
56,2017-04-17,0.008076348269455108,0.008076348269455108
57,2017-04-18,-0.002901185149174929,-0.002901185149174929
58,2017-04-19,-0.003923026184245731,-0.003923026184245731
59,2017-04-20,0.007448098092758797,0.007448098092758797
60,2017-04-21,-0.0007116079270687259,-0.0007116079270687259
61,2017-04-24,0.009547206370509981,0.009547206370509981
62,2017-04-25,0.009234519839321276,0.009234519839321276
63,2017-04-26,5.421851946658886e-05,5.421851946658886e-05
64,2017-04-27,0.0004164822618829642,0.0004164822618829642
65,2017-04-28,-0.0016090757636464687,-0.0016090757636464687
66,2017-05-01,-0.0010031612294696456,-0.0010031612294696456
67,2017-05-02,0.0016533866139909511,0.0016533866139909511
68,2017-05-03,1.3428112382728863e-05,1.3428112382728863e-05
69,2017-05-04,-0.0005525275781786024,-0.0005525275781786024
70,2017-05-05,0.002117114650232442,0.002117114650232442
71,2017-05-08,5.522154926367978e-06,5.522154926367978e-06
72,2017-05-09,-0.0008607921095778347,-0.0008607921095778347
73,2017-05-10,-0.000924941682557252,-0.000924941682557252
74,2017-05-11,-0.0021779644502424394,-0.0021779644502424394
75,2017-05-12,-0.0007112542565191873,-0.0007112542565191873
76,2017-05-15,0.003871483763003803,0.003871483763003803
77,2017-05-16,-0.0003275299280797387,-0.0003275299280797387
78,2017-05-17,-0.01582529117842483,-0.01582529117842483
79,2017-05-18,0.0018778312611641766,0.0018778312611641766
80,2017-05-19,0.004753267773305664,0.004753267773305664
81,2017-05-22,0.003478970898319336,0.003478970898319336
82,2017-05-23,0.00175824719238244,0.00175824719238244
83,2017-05-24,0.002622762236972779,0.002622762236972779
84,2017-05-25,0.0047149810536844215,0.0047149810536844215
85,2017-05-26,-0.0002326197745757909,-0.0002326197745757909
86,2017-05-30,-0.001420247403548659,-0.001420247403548659
87,2017-05-31,-0.0001357695415188417,-0.0001357695415188417
88,2017-06-01,0.005806751391536016,0.005806751391536016
89,2017-06-02,0.00393387965034569,0.00393387965034569
90,2017-06-05,-0.00010938595281541623,-0.00010938595281541623
91,2017-06-06,-0.0040436172480708705,-0.0040436172480708705
92,2017-06-07,0.0019394334798877493,0.0019394334798877493
93,2017-06-08,-0.0004334432010475495,-0.0004334432010475495
94,2017-06-09,0.001378848777728519,0.001378848777728519
